Pollutant,Measure Info,Geo Place Name,Year,Data Value
Fine particles (PM 2.5),mcg/m3,Lower East Side and Chinatown (CD3),2021,7.61
Fine particles (PM 2.5),mcg/m3,Midtown (CD5),2021,8.95
Fine particles (PM 2.5),mcg/m3,Clinton and Chelsea (CD4),2021,8.07
Fine particles (PM 2.5),mcg/m3,Stuyvesant Town and Turtle Bay (CD6),2021,7.86
Fine particles (PM 2.5),mcg/m3,Brooklyn,2021,6.63
Fine particles (PM 2.5),mcg/m3,Morningside Heights and Hamilton Heights (CD9),2021,6.79
Fine particles (PM 2.5),mcg/m3,East New York,2021,6.55
Fine particles (PM 2.5),mcg/m3,Upper West Side (CD7),2021,6.79
Fine particles (PM 2.5),mcg/m3,Crotona -Tremont,2021,6.79
Fine particles (PM 2.5),mcg/m3,Bronx,2021,6.64
Fine particles (PM 2.5),mcg/m3,Manhattan,2021,7.41
Fine particles (PM 2.5),mcg/m3,Kingsbridge - Riverdale,2021,6.57
Nitrogen dioxide (NO2),ppb,Downtown - Heights - Slope,2021,18.78
Nitrogen dioxide (NO2),ppb,Northeast Bronx,2021,15.98
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,2021,14.31
Nitrogen dioxide (NO2),ppb,Southeast Queens,2021,14.25
Nitrogen dioxide (NO2),ppb,Pelham - Throgs Neck,2021,16.01
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant - Crown Heights,2021,17.12
Nitrogen dioxide (NO2),ppb,Fordham - Bronx Pk,2021,16.03
Fine particles (PM 2.5),mcg/m3,Queens,2021,6.48
Fine particles (PM 2.5),mcg/m3,Northeast Bronx,2021,6.49
Fine particles (PM 2.5),mcg/m3,Northeast Bronx,2021,6.49
Nitrogen dioxide (NO2),ppb,East Flatbush - Flatbush,2021,16.38
Nitrogen dioxide (NO2),ppb,Canarsie - Flatlands,2021,14.28
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),2021,19.19
Fine particles (PM 2.5),mcg/m3,Sunset Park,2021,6.99
Nitrogen dioxide (NO2),ppb,Pelham - Throgs Neck,2021,16.01
Nitrogen dioxide (NO2),ppb,Staten Island,2021,12.84
Fine particles (PM 2.5),mcg/m3,Staten Island,2021,6.15
Fine particles (PM 2.5),mcg/m3,Pelham - Throgs Neck,2021,6.6
